GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
GBA,4.874654161412364e-16,,0.0882048525585825,1.13472e-06,0.00058598,5.13286e-10,0.001,0,0,1,1,1,3
TREML1,3.5776055102044053e-07,,0.0095624034259589,0.857978,0.00141225,1.41378e-05,0.001,0,1,0,1,1,3
OR1G1,2.021174366946573e-06,,0.0493959629086863,0.782067,1.02625e-06,0.0304223,0.001,0,1,0,1,1,3
DCAF15,3.6855068462202414e-06,,0.0124700556852674,9.67934e-05,0.0129034,0.155835,0.001,0,1,1,1,0,3
ZNF777,0.0005881523706901,,0.322355135744745,0.0073193,0.0143449,0.0321525,0.001,0,0,1,1,1,3
SUMF2,0.0005986341794058,,0.755661381642972,0.00209643,0.0356798,0.0196833,0.001,0,0,1,1,1,3
TMEM139,0.0017611707178196,,0.0035873366517785,0.783956,0.0438913,0.0354356,0.001,0,1,0,1,1,3
LOC101928123,0.0019251281479922,,,0.0352755,0.0308598,0.0268122,0.001,0,0,1,1,1,3
CNTROB,0.0026874848559805,,0.0122616753109096,0.0494157,0.649288,0.0192047,0.001,0,1,1,0,1,3
LHX6,0.0062105627356745,,0.0399345610802535,0.0115726,0.0493469,1.0,0.001,0,1,1,1,0,3
