GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
SEPT5-GP1BB,3.947775076839064e-06,0.758649,,0.677159,4.07702e-07,0.0125565,0.001,0,0,0,1,1,2
SEPTIN5,5.461187303256172e-06,0.758649,,0.35482,1.5395e-06,0.00927641,0.001,0,0,0,1,1,2
RPS20,2.9427755001383408e-05,,0.74764936165867,0.000102238,0.603869,0.000609874,0.001,0,0,1,0,1,2
STK38L,5.350844524382961e-05,0.461737,2.68194825381318e-05,0.165171,0.188783,0.022298,0.001,0,1,0,0,1,2
RAP1A,5.9405575618420765e-05,,0.0920448597787588,0.000102486,0.229522,0.0301836,0.001,0,0,1,0,1,2
S100B,0.0001100771882161,,0.0425704895985266,0.000187978,,0.124738,0.001,0,1,1,0,0,2
TRAP1,0.000110547838519,0.423519,0.0366045560092946,0.418998,4.60776e-06,0.718634,0.001,0,1,0,1,0,2
PUS7L,0.0001186103026755,0.133467,0.776491449264497,3.29448e-05,0.00869181,0.792595,0.001,0,0,1,1,0,2
RIPOR2,0.0001342053250461,0.00172695,,0.108815,0.00124056,0.752587,0.001,1,0,0,1,0,2
GADD45G,0.0001471900435547,0.214698,0.293223432129132,0.00113426,0.000756903,0.572939,0.001,0,0,1,1,0,2
PAQR5,0.0001542797735383,0.468345,0.000328843221815,0.0653601,0.00957553,0.341151,0.001,0,1,0,1,0,2
H2BC21,0.0002554829280595,0.00246732,,0.150835,0.786715,0.00131919,0.001,1,0,0,0,1,2
MRRF,0.0002969307677203,0.479467,0.0644173575734297,0.68375,0.044894,8.04927e-05,0.001,0,0,0,1,1,2
ZNF414,0.0003332163521812,0.169013,0.0475398884687792,0.498491,0.000122525,0.180569,0.001,0,1,0,1,0,2
APBA3,0.0003462809418359,0.0250679,0.148496862149399,0.00128162,0.0631777,0.309051,0.001,1,0,1,0,0,2
ACTR5,0.0004031343642697,0.00146021,0.400000446177843,0.154486,0.00125812,1.0,0.001,1,0,0,1,0,2
MVD,0.0004385466534664,0.0999069,0.369291682944901,0.00047491,0.213906,0.0338057,0.001,0,0,1,0,1,2
ADI1,0.0005470803090678,0.691168,0.0005629984854172,0.00388708,0.263821,0.424126,0.001,0,1,1,0,0,2
XPNPEP1,0.0005710421437439,0.750995,0.0003536221502211,0.67989,0.261765,0.00378828,0.001,0,1,0,0,1,2
MTMR7,0.0006346392180004,0.112203,0.456202666545678,0.0461384,0.485772,0.000179328,0.001,0,0,1,0,1,2
LURAP1L,0.0007292095639757,0.000258705,0.0375688444773247,0.466296,0.819604,0.0665303,0.001,1,1,0,0,0,2
ADORA1,0.0007416861728172,0.54137,0.0007119594935897,0.711395,0.488962,0.00188506,0.001,0,1,0,0,1,2
SLC35E3,0.0007631793403112,0.739708,0.571449453437569,0.181428,0.00170718,0.00200472,0.001,0,0,0,1,1,2
DEFB121,0.0008497493724368,,0.813432636871527,0.0272928,0.000135944,0.572737,0.001,0,0,1,1,0,2
MIR1260B,0.0008903355010619,,,,0.022727,0.00378064,0.001,0,0,0,1,1,2
GSK3A,0.000901654564151,0.0536089,0.322519585351207,0.0207725,0.0068469,0.133154,0.001,0,0,1,1,0,2
CCDC69,0.000940354205999,0.30986,0.836607082253269,0.000215371,0.0413688,0.14992,0.001,0,0,1,1,0,2
OR11H2,0.0009466117333735,,0.0168772319724418,0.722983,0.000180589,0.89916,0.001,0,1,0,1,0,2
