GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
AUNIP,2.699948772490403e-07,,0.0229353327748248,3.04329e-08,0.170061,1.0,0.001,0,1,1,0,0,2
SEPT5-GP1BB,4.60639245033871e-07,,,0.52497,5.44236e-07,0.00730394,0.001,0,0,0,1,1,2
LRRK2,1.5529909690297615e-06,,1.69712117903398e-06,0.0522574,0.625302,0.0160221,0.001,0,1,0,0,1,2
SEPTIN5,7.234588456701178e-06,,,0.168327,1.85808e-05,0.0143643,0.001,0,0,0,1,1,2
TRAP1,1.5035562567410746e-05,,0.0123501027447057,0.315818,7.67972e-06,0.423015,0.001,0,1,0,1,0,2
MMP8,1.5309166983585916e-05,,0.0959218080911629,0.0338484,5.17681e-06,0.770133,0.001,0,0,1,1,0,2
FIBCD1,3.3474675190891626e-05,,0.0285224169669634,1.65905e-05,0.124498,0.557351,0.001,0,1,1,0,0,2
RPS20,6.640637298913915e-05,,0.74764936165867,0.000102238,0.595423,0.00164229,0.001,0,0,1,0,1,2
RAP1A,9.435910440160468e-05,,0.0973563941555602,0.000122895,0.355521,0.0268759,0.001,0,0,1,0,1,2
XPNPEP1,0.000165852455892,,0.0003536221502211,0.627603,0.261765,0.0039112,0.001,0,1,0,0,1,2
PUS7L,0.0001762802410856,,0.776459563667361,4.58169e-05,0.00869181,0.791783,0.001,0,0,1,1,0,2
E2F1,0.0002018622763407,,0.19238016943696,0.000475424,0.343298,0.0092067,0.001,0,0,1,0,1,2
SLC35E3,0.0002204560061492,,0.412728160493966,0.127244,0.00212329,0.00288877,0.001,0,0,0,1,1,2
ADORA1,0.0002978884286653,,0.0007119594935897,0.711395,0.488962,0.00188506,0.001,0,1,0,0,1,2
ZNF414,0.0003131672758603,,0.0383199477757611,0.380191,0.000160655,0.212181,0.001,0,1,0,1,0,2
DDAH1,0.0003877906479109,,0.351048799576995,0.00120212,0.851024,0.00180232,0.001,0,0,1,0,1,2
PAQR5,0.0004447612390534,,0.0044218945630449,0.088029,0.00797186,0.247365,0.001,0,1,0,1,0,2
PPP3CA,0.0004573901867341,,0.0138825002515574,8.70227e-05,0.657932,1.0,0.001,0,1,1,0,0,2
ADI1,0.0004721268376815,,0.0029326491879683,0.00287154,0.242295,0.405256,0.001,0,1,1,0,0,2
SH3GLB2,0.0005190594986002,,0.0939376846107922,0.840692,0.00276431,0.00426342,0.001,0,0,0,1,1,2
MAP3K1,0.0005552266730602,,0.872498221512664,0.000216213,0.00671902,0.798809,0.001,0,0,1,1,0,2
AQP9,0.000615173332446,,0.0962614623107568,0.00954499,0.0159585,0.0785134,0.001,0,0,1,1,0,2
SLC35E4,0.0006447122945353,,0.0096026273555136,0.66702,0.000813251,0.234402,0.001,0,1,0,1,0,2
TMEM9B,0.0006720599211265,,0.0007428552363274,0.0627831,0.0340178,0.810804,0.001,0,1,0,1,0,2
EIF3C,0.0006741490516982,,0.0953860056473596,0.866168,0.0348863,0.000448044,0.001,0,0,0,1,1,2
ZNF699,0.0006800200303359,,0.0192296923995415,0.468335,0.000821828,0.176394,0.001,0,1,0,1,0,2
PDE2A,0.000693698847747,,0.514845509843928,0.00175177,0.0579393,0.0256175,0.001,0,0,1,0,1,2
RASAL1,0.0007406401860118,,0.0161670106395972,0.687472,0.161535,0.000809626,0.001,0,1,0,0,1,2
PRKG1,0.0007802026488141,,0.777038937814293,0.000298592,0.0142665,0.468883,0.001,0,0,1,1,0,2
KLHL24,0.0008641007898324,,0.0425003564501332,0.90071,0.000117438,0.392722,0.001,0,1,0,1,0,2
CFAP298,0.0008895915295519,,,0.0112036,0.00246944,0.417645,0.001,0,0,1,1,0,2
MIR1260B,0.0008903355010619,,,,0.022727,0.00378064,0.001,0,0,0,1,1,2
EIF3CL,0.0010159663732818,,,0.866168,0.0348863,0.000448044,0.001,0,0,0,1,1,2
GAS2L3,0.0010392450454868,,0.389238971228357,0.00173956,0.0114801,0.286906,0.001,0,0,1,1,0,2
FERMT2,0.0011050385193068,,0.530190991049038,0.00378831,0.0234595,0.0511672,0.001,0,0,1,1,0,2
OR5K3,0.0012597210202445,,0.0074328769709104,0.849806,0.276974,0.00162809,0.001,0,1,0,0,1,2
ARSA,0.0013489848615456,,0.657917898031197,0.00305465,0.00917522,0.168568,0.001,0,0,1,1,0,2
ADH5,0.0013576276773794,,0.0340767053500921,0.00028752,0.470536,0.679748,0.001,0,1,1,0,0,2
DNPH1,0.0014904610798872,,0.1097833275846,0.205771,0.0105483,0.0148182,0.001,0,0,0,1,1,2
PHC2-AS1,0.0015151810517872,,,0.00276874,0.0271026,0.291344,0.001,0,0,1,1,0,2
EZH2,0.0015182943458068,,0.868264920953553,0.312431,0.00395221,0.00337241,0.001,0,0,0,1,1,2
OR11H2,0.0016017140185088,,0.0269691487909887,0.661137,0.000217169,1.0,0.001,0,1,0,1,0,2
SLFN12L,0.0016808291401849,,0.686824080403551,0.0020401,0.00651818,0.451028,0.001,0,0,1,1,0,2
MAPK1,0.0016841725023975,,0.103791369078188,0.00585362,0.204978,0.0331621,0.001,0,0,1,0,1,2
H2BC8,0.0016847123056584,,,0.0131498,0.564094,0.00334916,0.001,0,0,1,0,1,2
PANX1,0.0017031901011603,,0.783023432769742,0.0169924,0.766,0.000411093,0.001,0,0,1,0,1,2
PROSER1,0.0018087189384459,,0.0033692960749752,0.633255,0.178467,0.0118874,0.001,0,1,0,0,1,2
FAH,0.0019049022125862,,0.0234574477728149,0.000254537,0.810406,1.0,0.001,0,1,1,0,0,2
TRRAP,0.0019725651091213,,0.0153526683074058,0.673016,0.00452591,0.108233,0.001,0,1,0,1,0,2
GFM2,0.0019881405867894,,0.0016279828214658,0.460724,0.0102415,0.66562,0.001,0,1,0,1,0,2
WBP11,0.0019974318138833,,0.542129510923706,0.139328,0.0134623,0.00505862,0.001,0,0,0,1,1,2
ACTR3C,0.0020009647401275,,0.578914552062899,0.0206879,0.0024328,0.176948,0.001,0,0,1,1,0,2
HS3ST6,0.0020395035680458,,0.838632327656139,0.0170935,0.000472101,0.780796,0.001,0,0,1,1,0,2
KANSL1L,0.0021775948186973,,0.0439836276497382,0.0524347,0.186449,0.0133742,0.001,0,1,0,0,1,2
IFNA16,0.0022376298357549,,0.891762041713686,0.014942,0.00104144,0.429266,0.001,0,0,1,1,0,2
TMEM217,0.0023103016938803,,0.0301408216201768,0.32836,0.253975,0.00246999,0.001,0,1,0,0,1,2
ANO10,0.002403132936675,,0.0286677730813019,0.177172,0.162126,0.00793462,0.001,0,1,0,0,1,2
C12orf60,0.0024488673695348,,0.0382402208829288,0.00129997,0.269974,0.4989,0.001,0,1,1,0,0,2
DDX51,0.0024921580034211,,0.0045605632725926,0.664702,0.0239891,0.0941906,0.001,0,1,0,1,0,2
SELENOO,0.0024970422609104,,,0.117212,0.0365933,0.00933037,0.001,0,0,0,1,1,2
ITM2A,0.0025031311248516,,0.168809066969376,0.022274,0.488852,0.00374777,0.001,0,0,1,0,1,2
EVX1-AS,0.0025215883747139,,,0.017043,0.192525,0.0123427,0.001,0,0,1,0,1,2
LOC101928295,0.0025827955510358,,,0.00679829,0.00759598,0.8075,0.001,0,0,1,1,0,2
SEMA5A,0.002633355904087,,0.0069633667563614,0.548425,0.00358916,0.536829,0.001,0,1,0,1,0,2
APOBEC3D,0.0028602854516543,,0.450876637984031,0.00746621,0.00490013,0.496754,0.001,0,0,1,1,0,2
PPME1,0.0031383763760524,,0.0494519105309172,0.00652133,0.467949,0.0612906,0.001,0,1,1,0,0,2
CAPN3,0.0031784751608163,,0.0265275197488681,0.302657,0.154817,0.00756581,0.001,0,1,0,0,1,2
IL12A,0.0032176001935074,,0.0037425045245074,0.861533,0.0614094,0.0482617,0.001,0,1,0,0,1,2
KCNK12,0.0032247283456849,,0.0452003246908788,0.144449,0.125517,0.0116942,0.001,0,1,0,0,1,2
RAB15,0.0034168317483137,,0.087493125845166,0.0867625,0.0285359,0.0477247,0.001,0,0,0,1,1,2
DKKL1,0.0034578544397454,,0.132074195285774,0.00445475,0.0333548,0.535102,0.001,0,0,1,1,0,2
CETN3,0.003473974675988,,0.0235940157538969,0.000908733,0.866055,0.568986,0.001,0,1,1,0,0,2
RNF208,0.0034740262090177,,0.0616706341067841,0.0073254,0.61071,0.0382956,0.001,0,0,1,0,1,2
ZNF582,0.0034960509951519,,0.0280192832322902,0.392395,0.00219427,0.441594,0.001,0,1,0,1,0,2
CFAP298-TCP10L,0.0035520787250767,,,0.0160716,0.0067057,0.571261,0.001,0,0,1,1,0,2
CENPP,0.0035614898267165,,0.487691231089184,0.647943,0.024234,0.00142546,0.001,0,0,0,1,1,2
SYCE2,0.0035661031841874,,0.531808250182747,0.0066206,0.778847,0.00398745,0.001,0,0,1,0,1,2
NOVA2,0.0037092251298555,,0.195961199878797,0.00255939,0.0364954,0.629073,0.001,0,0,1,1,0,2
TREML4,0.003726588678835,,0.0069760750571944,0.619669,0.061449,0.043614,0.001,0,1,0,0,1,2
GATD1,0.0037524595452205,,,0.00672187,0.0164379,0.596045,0.001,0,0,1,1,0,2
SYBU,0.003760262216256,,0.0235085505033498,0.010955,0.12027,0.378488,0.001,0,1,1,0,0,2
MYEF2,0.0038071253084923,,0.0244618243211736,0.00494215,0.664996,0.148217,0.001,0,1,1,0,0,2
UBE2F-SCLY,0.0039939215589167,,0.0236948872856909,0.10228,0.218016,0.02402,0.001,0,1,0,0,1,2
