GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_SIBLING_PROXY_BETA	UKB_SIBLING_PROXY_SE	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
SOAT2	3.9084281839884847	9.28985531830339e-05	0.647054	0.32986	0.0498089	NA	NA	NA	1.07787	0.402206	0.00736437	0.154095	0.174819	0.378072	0.709482890173676	0.309290499961594	0.0217959810802337	6.0	NA	7.0	13.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
B3GNT3	3.7627128962512324	0.0001680801193944059	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.22864	1.22763	0.0694624	3.74312143465989	1.06766982470067	0.0004551017125469	NA	NA	NA	3.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TRAPPC3L	3.3006033083881463	0.000964771871982724	1.24069	1.22787	0.312286	0.48783	0.927199	0.598795	0.97532	1.22963	0.427672	0.915604	0.464424	0.0486686	1.93465590208608	0.628311518023376	0.0020760267795094	2.0	3.0	3.0	11.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ANGEL2	3.186376810592727	0.0014406682623369336	1.32646	0.592432	0.0251551	NA	NA	NA	NA	NA	NA	0.223109	0.324219	0.491362	1.38373707704974	0.533887159501172	0.0095470924663894	2.0	NA	NA	10.0	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
PHKB	-3.14599314720392	0.001655238839448525	-1.23742	0.731361	0.0906565	-0.902617	0.435521	0.038219	-1.11088	1.03232	0.281883	-0.137739	0.227257	0.544453	-0.552281175440779	0.347779796438713	0.112281879679084	16.0	5.0	11.0	28.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RP11-400G3.5	3.112899632413066	0.0018525900862235362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.43633195258633	0.461412869734226	0.0018525900862235	NA	NA	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
NOC2L	3.056221764227844	0.0022414540542561086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26734113357892	0.414675776611752	0.0022414540542561	NA	NA	NA	NA	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SLC17A1	-3.042402310276703	0.002346979837439067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.69759772015894	0.557979368614319	0.002346979837439	NA	NA	NA	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CAPN10	3.0319251184535547	0.002429994771146659	3.37192	1.10577	0.00229306	NA	NA	NA	1.63267	1.00436	0.104039	-0.606628	0.528426	0.250972	2.09947867433774	0.827585633303507	0.0111847897236652	4.0	NA	4.0	18.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ZNF587B	3.0318646066294477	0.002430481939366744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.31028989661085	0.762002990357548	0.0024304819393667	NA	NA	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
