GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	11.837715361566769	2.491476163351619e-32	0.52337	0.0701377	8.51999e-14	0.567902	0.129786	1.21058e-05	85.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IPO4	-5.25093197909601	1.5133156025433198e-07	-0.30753	0.100903	0.00230542	-0.391247	0.177585	0.0275843	209.0	30.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ANGEL2	-5.133127259846664	2.8496708270737775e-07	-0.347973	0.136533	0.0108143	-0.644634	0.249424	0.0097522	76.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCDC2C	5.1279076994948625	2.929800113679374e-07	0.151741	0.150634	0.313769	0.664881	0.161357	3.77936e-05	59.0	10.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	5.028157630853243	4.95214724251219e-07	0.434849	0.120971	0.000324811	0.522463	0.364466	0.151714	107.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LIG3	5.024588834543771	5.045122332569956e-07	0.288986	0.101712	0.00449421	0.530773	0.243098	0.0290087	158.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KBTBD13	-5.020518312115336	5.153223786777369e-07	-0.174924	0.0719467	0.0150445	-0.477905	0.184575	0.00961947	131.0	14.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRMT12	4.849236730311237	1.2393744064898595e-06	0.399511	0.146919	0.00654289	0.78984	0.370821	0.0331734	63.0	10.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
XKR7	-4.814659535207353	1.4745106597243263e-06	-0.166733	0.125862	0.185263	-1.3902	0.398346	0.000483158	105.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PHF23	4.742708305430309	2.108798084065981e-06	0.245142	0.12784	0.0551645	0.783414	0.277301	0.00472608	62.0	10.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STIMATE	4.724052386542559	2.311908205593771e-06	0.415441	0.135496	0.00216889	0.24453	0.147487	0.0973217	42.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FLNC	4.692991938531936	2.6923810402947904e-06	0.156662	0.0450845	0.000511125	0.104104	0.0854615	0.223171	487.0	80.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
INSM2	4.622820880184423	3.7855658500240047e-06	0.207881	0.0928834	0.0252157	0.572222	0.239952	0.0170913	97.0	14.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
HP1BP3	4.622656567169297	3.788566654865193e-06	0.263509	0.0970206	0.00660735	0.370528	0.194335	0.0565662	70.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF433-AS1	4.607492375364163	4.075541437161037e-06	0.268302	0.0701682	0.000131465	0.113089	0.144284	0.433162	159.0	31.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SYK	-4.554788642700211	5.243827582848309e-06	-0.55668	0.211845	0.00859459	-0.72115	0.374231	0.0539777	61.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
HYDIN	-4.543026289576287	5.545233275698809e-06	-0.0877172	0.0391315	0.024987	-0.182011	0.0790862	0.0213679	621.0	82.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PRG2	-4.513173288275921	6.386479873969645e-06	-0.375556	0.15812	0.0175426	-0.625813	0.292704	0.0325134	48.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LRWD1	-4.484057680147936	7.323685152794659e-06	-0.120217	0.0737818	0.103238	-0.388182	0.13598	0.00430758	165.0	30.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KLHL8	4.463107675603533	8.07794335302455e-06	0.257026	0.112152	0.0219193	0.619343	0.285235	0.0299051	74.0	9.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RNF157	4.422646335844017	9.74992686450933e-06	0.114968	0.0810399	0.155998	0.507052	0.168793	0.0026647	120.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF716	4.4055661624440825	1.0550794135809054e-05	0.111679	0.0786385	0.155561	0.639206	0.21411	0.002832	95.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TIGD2	-4.385476654194697	1.1573207073998782e-05	-0.356538	0.146245	0.0147708	-0.544842	0.279761	0.0514714	64.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPTIN5	4.332635422768783	1.4733497930976212e-05	0.734077	0.184731	7.07449e-05	0.173201	0.482624	0.71969	63.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
WDR92	-4.3288693860471215	1.49876784412318e-05	-0.63401	0.272362	0.0199217	-0.887595	0.443565	0.0453871	50.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
