GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,SIG_DATASET
LRRK2,9.06322517947868e-06,0.72484,2.09752736968216e-06,0.0380867,0.001,0,1,1,2
S100B,0.0001019157265896,,0.0425704895985266,0.000187978,0.001,0,1,1,2
DIAPH2,0.00010934625093,,0.0001749680565859,0.0493665,0.001,0,1,1,2
ADI1,0.000157616219498,0.691168,0.0005629984854172,0.00388708,0.001,0,1,1,2
DCAF15,0.0002078015813598,0.282142,0.0316464332096389,0.0002336,0.001,0,1,1,2
OR1C1,0.0002823012541966,0.00126973,0.468137057441344,0.00501733,0.001,1,0,1,2
EEF1AKMT4,0.0002896059027168,0.011111,,0.00224739,0.001,1,0,1,2
FAH,0.0003382876989888,0.70008,0.019425462937551,0.000271053,0.001,0,1,1,2
LURAP1L,0.0004033643280027,0.000258705,0.0375688444773247,0.466296,0.001,1,1,0,2
APBA3,0.0004213643481351,0.0250679,0.148496862149399,0.00128162,0.001,1,0,1,2
TMEM9B,0.0004581043649659,0.658754,0.0007428552363274,0.0107575,0.001,0,1,1,2
IGSF22,0.000487843749292,0.0173091,0.20403646757256,0.00160529,0.001,1,0,1,2
KIF2C,0.0005181601901071,0.00901952,0.764943657968274,0.000882297,0.001,1,0,1,2
TAAR6,0.0005213184630508,0.0389833,0.062402970109428,0.00252034,0.001,1,0,1,2
DSEL,0.0005213462059413,0.0138004,0.0702849890391547,0.00632144,0.001,1,0,1,2
C12orf60,0.0006114070180741,0.588796,0.0252579425848535,0.00049775,0.001,0,1,1,2
RABGGTB,0.0006475672185683,,0.0435224365751893,0.00138876,0.001,0,1,1,2
DLEU7,0.0006683976913476,0.0142538,0.0872596599433554,0.00661418,0.001,1,0,1,2
KRT6B,0.0006737271818204,0.00202017,0.0074010646010288,0.555427,0.001,1,1,0,2
NTNG1,0.0008071899082243,0.0136206,0.465600987467991,0.00162294,0.001,1,0,1,2
DLEU7-AS1,0.0009681581224623,0.0142538,,0.00661418,0.001,1,0,1,2
GSTA4,0.0010016606105751,0.0238767,0.0533993354645922,0.0104403,0.001,1,0,1,2
MTRES1,0.001013042257187,0.0248078,,0.00399603,0.001,1,0,1,2
AQP8,0.0010166059267222,0.00828423,0.847438464908677,0.00192994,0.001,1,0,1,2
MYOCD,0.0010360459617297,0.917058,0.0308610215301176,0.000489693,0.001,0,1,1,2
CREM,0.0010542031196919,0.00125538,0.675103080835216,0.0166956,0.001,1,0,1,2
IGFL4,0.0013557347962695,,0.0054876976263408,0.0249659,0.001,0,1,1,2
USP6NL,0.001645135052024,0.500363,0.0015911402735152,0.0303222,0.001,0,1,1,2
