GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
DCAF1,9.120474215568938e-05,0.473686,0.0001702600650022,0.211237,0.028877,0.0342621,0.01,0,1,0,1,1,3
TMEM9B,0.0005176787686768,0.658754,0.0007428552363274,0.0107575,0.0340178,0.879029,0.01,0,1,1,1,0,3
FERMT2,0.0012748794583336,0.267207,0.594935814730211,0.0159894,0.00597888,0.0342209,0.01,0,0,1,1,1,3
PRTN3,0.00152148217058,0.00485419,0.554432806845501,0.0175423,0.024917,0.560868,0.01,1,0,1,1,0,3
CPD,0.0018431374205641,0.569537,0.0218385845549773,0.391088,0.0317205,0.00554313,0.01,0,1,0,1,1,3
LOC101928123,0.0019251281479922,,,0.0352755,0.0308598,0.0268122,0.01,0,0,1,1,1,3
ZFR,0.0024468891382657,0.246489,0.147335708361324,0.0226643,0.0327759,0.0466537,0.01,0,0,1,1,1,3
ASZ1,0.0029645308237462,0.305339,0.0079549358775676,0.563166,0.0314803,0.0380473,0.01,0,1,0,1,1,3
SPINT2,0.0030171004029701,0.590718,0.768246750383928,0.0153858,0.0317612,0.00756918,0.01,0,0,1,1,1,3
VIT,0.0037410826480458,0.0185363,0.182205276047976,0.022729,0.0404337,0.728465,0.01,1,0,1,1,0,3
ZNF781,0.003896348181463,0.0397237,0.0095780185845664,0.0419236,0.252294,0.594567,0.01,1,1,1,0,0,3
NR5A2,0.0038975734598348,0.0221154,0.0434802789820777,0.666,0.0100219,0.372967,0.01,1,1,0,1,0,3
C5AR1,0.005369449483933,0.0390034,0.437301911617073,0.686842,0.0440153,0.00727297,0.01,1,0,0,1,1,3
GGTLC2,0.0108668339867091,0.0284108,0.013612714664425,0.858898,0.0499348,0.620694,0.01,1,1,0,1,0,3
MSR1,0.0137300833005082,0.663047,0.0181236631345695,0.0323541,0.881093,0.0423404,0.01,0,1,1,0,1,3
EFCAB7,0.0162510397709198,0.758137,0.0423404106935361,0.236833,0.0492155,0.0497638,0.01,0,1,0,1,1,3
