GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
B3GNT3	4.124196323014681	3.720314751138189e-05	2.68973	1.15607	0.019986	NA	NA	NA	3.74312143465989	1.06766982470067	0.0004551017125469	3.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RHOT1	3.5440716920054194	0.0003939980934907832	1.3322	0.403416	0.000958919	NA	NA	NA	2.62387757959348	1.53463246781295	0.0873073246960329	7.0	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRAPPC3L	3.349312381129656	0.0008101240175517889	0.897772	0.408838	0.0280984	0.48783	0.927199	0.598795	1.93465590208608	0.628311518023376	0.0020760267795094	12.0	3.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RP11-400G3.5	3.112899632413066	0.0018525900862235362	NA	NA	NA	NA	NA	NA	1.43633195258633	0.461412869734226	0.0018525900862235	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FLYWCH1	3.057228067457272	0.0022339423368667147	0.93627	0.372884	0.0120429	NA	NA	NA	0.673856807453204	0.371745062728614	0.0698803743089678	17.0	NA	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NOC2L	3.056221764227844	0.0022414540542561086	NA	NA	NA	NA	NA	NA	1.26734113357892	0.414675776611752	0.0022414540542561	NA	NA	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SLC17A1	-3.042402310276703	0.002346979837439067	NA	NA	NA	NA	NA	NA	-1.69759772015894	0.557979368614319	0.002346979837439	NA	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF587B	3.0318646066294477	0.002430481939366744	NA	NA	NA	NA	NA	NA	2.31028989661085	0.762002990357548	0.0024304819393667	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SPINK4	2.9538173935838454	0.003138696669075228	NA	NA	NA	NA	NA	NA	0.749688767082974	0.253803355857886	0.0031386966690752	NA	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LY6K	2.9354628482829033	0.0033305049089437312	NA	NA	NA	NA	NA	NA	2.69839708249393	0.919240754170115	0.0033305049089437	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
