GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
CAPN10	3.950081071321536	7.812472660793461e-05	3.37192	1.10577	0.00229306	NA	NA	NA	2.09947867433774	0.827585633303507	0.0111847897236652	4.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
B3GNT3	3.505879203534955	0.00045510171254698807	NA	NA	NA	NA	NA	NA	3.74312143465989	1.06766982470067	0.0004551017125469	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ULK4	3.1207037974924154	0.0018041940869122745	1.71504	0.524055	0.00106552	NA	NA	NA	0.242552046574523	0.212632890028757	0.253991440943902	12.0	NA	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RP11-400G3.5	3.1128996324130664	0.001852590086223532	NA	NA	NA	NA	NA	NA	1.43633195258633	0.461412869734226	0.0018525900862235	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NOC2L	3.056221764227844	0.0022414540542561086	NA	NA	NA	NA	NA	NA	1.26734113357892	0.414675776611752	0.0022414540542561	NA	NA	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SLC17A1	-3.042402310276703	0.002346979837439067	NA	NA	NA	NA	NA	NA	-1.69759772015894	0.557979368614319	0.002346979837439	NA	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ZNF587B	3.0318646066294477	0.002430481939366744	NA	NA	NA	NA	NA	NA	2.31028989661085	0.762002990357548	0.0024304819393667	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LY6K	2.9354628482829033	0.0033305049089437312	NA	NA	NA	NA	NA	NA	2.69839708249393	0.919240754170115	0.0033305049089437	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
USP13	2.910664026056153	0.00360661604781899	NA	NA	NA	NA	NA	NA	2.61132224112706	0.897156874771737	0.0036066160478189	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MEI1	2.899569861415407	0.0037367506235431256	NA	NA	NA	NA	NA	NA	1.82844058953167	0.630590286463775	0.0037367506235431	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
