GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
SEPTIN5,5.461187303256172e-06,0.758649,,0.35482,1.5395e-06,0.00927641,0.01,0,0,0,1,1,2
LRRK2,9.458644618913644e-06,1.96111e-07,0.0465795758379102,0.371834,0.614894,0.482185,0.01,1,1,0,0,0,2
EEA1,2.7910433140960912e-05,0.710964,0.0459940953463497,5.51316e-06,0.0515888,0.410951,0.01,0,1,1,0,0,2
RPS20,2.9427755001383408e-05,,0.74764936165867,0.000102238,0.603869,0.000609874,0.01,0,0,1,0,1,2
STK38L,5.350844524382961e-05,0.461737,2.68194825381318e-05,0.165171,0.188783,0.022298,0.01,0,1,0,0,1,2
RAP1A,5.9405575618420765e-05,,0.0920448597787588,0.000102486,0.229522,0.0301836,0.01,0,0,1,0,1,2
S100B,0.0001100771882161,,0.0425704895985266,0.000187978,,0.124738,0.01,0,1,1,0,0,2
ZNF777,0.0001316116449998,0.605769,0.32961105011204,0.00143558,0.000377124,0.248382,0.01,0,0,1,1,0,2
GADD45G,0.0001471900435547,0.214698,0.293223432129132,0.00113426,0.000756903,0.572939,0.01,0,0,1,1,0,2
RPUSD1,0.0001472510682668,1.28091e-05,0.039381052741897,0.892608,0.0795356,0.865146,0.01,1,1,0,0,0,2
TOM1,0.0002546842151434,0.279296,0.032142255939973,0.0558515,0.287442,0.000434243,0.01,0,1,0,0,1,2
MAGT1,0.0002551857117192,,,0.477775,0.00980416,0.000565806,0.01,0,0,0,1,1,2
MRRF,0.0002969307677203,0.479467,0.0644173575734297,0.68375,0.044894,8.04927e-05,0.01,0,0,0,1,1,2
ZNF414,0.0003332163521812,0.169013,0.0475398884687792,0.498491,0.000122525,0.180569,0.01,0,1,0,1,0,2
RUSF1,0.0004137522390124,0.100625,,0.0475391,0.628428,0.000233376,0.01,0,0,1,0,1,2
PPFIBP2,0.0005940705392587,0.811649,0.0116914787327127,0.137142,0.594262,0.000243868,0.01,0,1,0,0,1,2
RNF157-AS1,0.0005990240603677,0.00367684,,0.647739,0.000895299,0.522203,0.01,1,0,0,1,0,2
PANK4,0.0006293152527726,0.116878,0.0011392221088566,0.5976,0.339672,0.00752791,0.01,0,1,0,0,1,2
RAP1GDS1,0.0006644654275182,0.000804792,0.443022133046199,0.0044127,1.0,0.138926,0.01,1,0,1,0,0,2
SLC35E3,0.0007631793403112,0.739708,0.571449453437569,0.181428,0.00170718,0.00200472,0.01,0,0,0,1,1,2
DEFB121,0.0008497493724368,,0.813432636871527,0.0272928,0.000135944,0.572737,0.01,0,0,1,1,0,2
XPNPEP1,0.0008743111273323,0.750995,0.0003536221502211,0.700665,0.445891,0.00378828,0.01,0,1,0,0,1,2
RBFOX3,0.000886036811727,1.0,0.220655550001717,0.0231214,6.27069e-05,1.0,0.01,0,0,1,1,0,2
COA8,0.0008873495726926,0.204373,,0.00407138,0.0660162,0.0332373,0.01,0,0,1,0,1,2
DMC1,0.0012724850646912,0.00434514,0.344638183642685,0.570318,0.000951366,0.63846,0.01,1,0,0,1,0,2
LSR,0.0013320723743328,0.0990747,0.0140285725754592,0.00617418,0.0778977,0.825237,0.01,0,1,1,0,0,2
GAREM1,0.0013950606978126,0.0254008,0.81911521771153,0.00103628,0.138767,0.196195,0.01,1,0,1,0,0,2
CHERP,0.001417720227113,0.030645,0.0801464815659094,0.414355,0.106401,0.00553988,0.01,1,0,0,0,1,2
PSG7,0.0014669031496388,0.00786402,0.475462078299863,0.0080205,0.0939417,0.222943,0.01,1,0,1,0,0,2
PI4K2A,0.0016987311670584,0.00242412,0.0037166314197181,0.874107,0.472603,0.205742,0.01,1,1,0,0,0,2
ATP1A1-AS1,0.0019710894315066,0.828944,,0.0241684,0.668459,0.000377579,0.01,0,0,1,0,1,2
MRPL15,0.0020112458899039,0.0157017,0.0105312457079593,0.0983971,0.588433,0.100584,0.01,1,1,0,0,0,2
L3HYPDH,0.002083683753478,0.702175,0.0025715966509641,0.0061073,0.629099,0.145661,0.01,0,1,1,0,0,2
RABGGTB,0.0021293533745091,,0.0435224365751893,0.00138876,0.620398,0.148987,0.01,0,1,1,0,0,2
FLNC,0.0022268232555132,0.0446901,0.152301199537029,0.63229,0.372738,0.000689733,0.01,1,0,0,0,1,2
TMEM266,0.0022658838819835,0.760857,0.0036088613738662,0.156059,0.0401581,0.0658408,0.01,0,1,0,1,0,2
