GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
LRRK2,9.849916678813096e-06,2.08514e-07,0.0399083567230903,0.412948,0.584314,0.527072,0.01,1,1,0,0,0,2
EEA1,1.0798053783780608e-05,0.667199,0.0304997475869285,2.80914e-06,0.0506778,0.408855,0.01,0,1,1,0,0,2
SEPTIN5,3.520042781204667e-05,0.776143,,0.168327,1.85808e-05,0.0143643,0.01,0,0,0,1,1,2
RPS20,6.640637298913915e-05,,0.74764936165867,0.000102238,0.595423,0.00164229,0.01,0,0,1,0,1,2
RAP1A,9.435910440160468e-05,,0.0973563941555602,0.000122895,0.355521,0.0268759,0.01,0,0,1,0,1,2
SEC13,0.0001088451032363,0.00814685,0.156485771304242,0.721193,3.01252e-05,0.761401,0.01,1,0,0,1,0,2
ZNF777,0.0001459344123558,0.605769,0.322355135744745,0.00143558,0.000377124,0.289725,0.01,0,0,1,1,0,2
RPUSD1,0.0002737599404175,1.28814e-05,0.0410493015407655,0.802393,0.187031,0.865756,0.01,1,1,0,0,0,2
MAGT1,0.0002994982636043,,,0.477775,0.011352,0.000589264,0.01,0,0,0,1,1,2
RUSF1,0.0003992346922208,0.112575,,0.039261,0.628743,0.000241494,0.01,0,0,1,0,1,2
RNF157-AS1,0.0005214513445123,0.00367684,,0.644183,0.000920228,0.429474,0.01,1,0,0,1,0,2
RAP1GDS1,0.0005924574093107,0.000822969,0.450796567885701,0.00363208,1.0,0.139466,0.01,1,0,1,0,0,2
TOM1,0.0006301336980206,0.245201,0.0357828620532784,0.0656567,0.183075,0.00193252,0.01,0,1,0,0,1,2
PANK4,0.0006586018325003,0.116878,0.0010407715462688,0.5976,0.339672,0.00874907,0.01,0,1,0,0,1,2
EIF3C,0.0006741490516982,,0.0953860056473596,0.866168,0.0348863,0.000448044,0.01,0,0,0,1,1,2
SLC35E3,0.0007093674650971,0.739708,0.412728160493966,0.127244,0.00212329,0.00288877,0.01,0,0,0,1,1,2
XPNPEP1,0.0008551216281587,0.750995,0.0003536221502211,0.658937,0.445891,0.0039112,0.01,0,1,0,0,1,2
RBFOX3,0.0009828809120363,1.0,0.300188544301687,0.0231214,6.27069e-05,0.843848,0.01,0,0,1,1,0,2
EIF3CL,0.0010159663732818,,,0.866168,0.0348863,0.000448044,0.01,0,0,0,1,1,2
COA8,0.0011045205744927,0.204373,,0.00500048,0.0688952,0.034222,0.01,0,0,1,0,1,2
MSR1,0.0011312298151337,0.173897,0.0186246873994708,0.00184811,0.898665,0.0823734,0.01,0,1,1,0,0,2
TREML1,0.001175056320879,0.703701,0.17319285956623,0.00183012,0.160275,0.0130414,0.01,0,0,1,0,1,2
ASMT,0.0012302031930837,,0.011517905555347,0.00773363,0.148691,0.208656,0.01,0,1,1,0,0,2
GAREM1,0.0013577628197713,0.0254008,0.835030899858118,0.000902059,0.138767,0.213177,0.01,1,0,1,0,0,2
PPP3CA,0.0013845179537455,0.73102,0.0138825002515574,8.70227e-05,0.657932,1.0,0.01,0,1,1,0,0,2
PPFIBP2,0.0014052473072376,0.827132,0.024149996054794,0.116831,0.738314,0.000344037,0.01,0,1,0,0,1,2
ZNF274,0.0016093294848429,0.184735,0.310266930720787,0.0237257,0.05958,0.00878464,0.01,0,0,1,0,1,2
ARSA,0.0016413095933244,0.72172,0.490512660162478,0.00305465,0.00156892,0.430824,0.01,0,0,1,1,0,2
TMEM9B,0.0018305967180923,0.658754,0.0007428552363274,0.0627831,0.0340178,0.810804,0.01,0,1,0,1,0,2
FLNC,0.0018895468752709,0.0432602,0.177418208927545,0.682885,0.246383,0.000685069,0.01,1,0,0,0,1,2
PI4K2A,0.0019408481295007,0.0027151,0.0040004616690341,0.891991,0.485832,0.194915,0.01,1,1,0,0,0,2
PSIP1,0.001945507590053,0.00189931,0.349575813605548,0.361786,0.861007,0.00445049,0.01,1,0,0,0,1,2
UPP2,0.0021733543508591,0.0039265,0.198951150500669,0.249676,0.638096,0.00859991,0.01,1,0,0,0,1,2
KLHL24,0.0022359379955908,0.630183,0.0425003564501332,0.90071,0.000117438,0.392722,0.01,0,1,0,1,0,2
RNF157,0.0022854497479573,0.00422225,0.688135727251009,0.793012,0.00129007,0.385675,0.01,1,0,0,1,0,2
L3HYPDH,0.0025135073972,0.702175,0.0050939791527617,0.00418354,0.661251,0.131966,0.01,0,1,1,0,0,2
DMC1,0.0025665268718341,0.00434514,0.466389533035909,0.663358,0.0014002,0.713867,0.01,1,0,0,1,0,2
OR1G1,0.0025973908079205,0.47036,0.340634195976637,0.782067,0.000358325,0.0304223,0.01,0,0,0,1,1,2
PDCL3,0.0026614660770817,0.841824,0.0932971935986482,0.00296624,0.0432588,0.14015,0.01,0,0,1,1,0,2
