GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	70.69245521210854	2.948123741720701e-13	12.530454291770027	0.013579	0.0214830395852572	1.52885e-12	15.0	16.0	83.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
P2RY10	20.49505107477776	3.544509999999998e-05	4.450443794050646	NA	NA	3.54451e-05	NA	NA	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
TREML1	27.443434780641873	0.00011956940371306686	3.9223799365560192	0.33677	0.163777802913243	1.99134e-05	9.0	29.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
STK38L	26.007580145388246	0.00022191971045072727	3.6538041229152274	0.36156	0.0001667716361832	0.0373442	2.0	11.0	37.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
H2BC21	21.107975217614758	0.000301434749765249	3.520806683138272	0.00635946	NA	0.00410243	2.0	NA	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
KNOP1	24.929815828495148	0.00035182352078022984	3.4536751296210197	0.0243794	0.925188902754562	0.000171122	17.0	39.0	90.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
MET	24.501684735807423	0.0004221338131729378	3.374549859202443	0.0267918	0.0454807865751501	0.00392371	24.0	97.0	190.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SEPTIN5	19.77072964817613	0.0005542217870251692	3.2563164056580356	0.71969	NA	7.07449e-05	5.0	NA	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
RNF114	23.592371688352145	0.0006205215946459187	3.2072431001082475	0.750554	0.0002560120421331	0.0392048	6.0	23.0	39.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
DCAF1	23.173110808783136	0.0007405245890818995	3.130460516176823	0.616782	0.0002538026319691	0.0593465	10.0	66.0	98.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
IRX6	23.151570218336346	0.0007472708878986099	3.1265219366134467	0.151714	0.190565384718304	0.000324811	12.0	49.0	107.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
CFAP52	23.03133142710341	0.0007860525080797779	3.104548442246042	0.0152275	0.0240580978725804	0.027222	13.0	57.0	93.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
LAT	22.86849602029227	0.0008417403627942374	3.0748218472110267	0.546265	0.0005253972822846	0.0376945	11.0	24.0	54.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
NOP53	18.81114836116589	0.0008560065421793942	3.067522916138789	0.0125628	NA	0.00654824	28.0	NA	131.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
PANK4	22.734380872363065	0.0008905007297427039	3.0503657203073073	0.0372242	0.0008613712803947	0.360808	24.0	60.0	178.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ADGB	22.6346895433394	0.0009285321674895817	3.0322030462362823	0.0232759	0.629413718407244	0.000830036	50.0	149.0	268.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
RPL13A	22.61405758045291	0.0009365999590444884	3.0284458655447066	0.0843329	0.0262165370051678	0.00555709	6.0	11.0	51.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
LURAP1L	22.44302759414103	0.0010061816579018837	2.997323603870343	0.000251641	0.0570119278232286	0.932849	9.0	26.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
C11orf63	13.694747748088494	0.0010622416134898	2.9737766890259087	NA	0.0010622416134898	NA	NA	68.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SEPT5-GP1BB	18.284800204266702	0.0010855424798440992	2.9643531769070206	0.71969	NA	0.000148717	5.0	NA	105.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
EVX1-AS	17.976912282675006	0.0012469856736209498	2.904138536018737	0.547258	NA	0.000228124	15.0	NA	82.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
LOC101928123	13.296729324389885	0.0012961400000000005	2.8873480864718406	NA	NA	0.00129614	NA	NA	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
GDF9	21.719587913683505	0.0013609821896038155	2.866147558123186	0.0468296	0.0004364251712774	0.940202	7.0	43.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ADORA1	21.62679660655935	0.0014145599322864513	2.8493786475637233	0.500647	0.0005856064517807	0.0686536	6.0	26.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
GSTM5	21.49523728270505	0.001494079751350892	2.825626220025836	0.00217477	0.0708440149128346	0.139525	7.0	22.0	52.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
RPS20	17.41336367568298	0.0016062269811613896	2.7941930831541844	NA	0.790879086357917	0.000209231	NA	5.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ARHGEF38	21.29841367901209	0.0016212855916118607	2.790140476862548	0.00754437	0.0058656973833109	0.536001	15.0	58.0	117.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ZNF433-AS1	17.258327938694627	0.0017218300649665423	2.764009713212857	0.912843	NA	0.000195887	28.0	NA	157.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
NAA38	21.05325005023395	0.0017946330879462782	2.7460243293522204	0.6917	0.0439078933969252	0.000882845	13.0	16.0	100.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
PKP4-AS1	17.028784938684737	0.0019082153977738527	2.719372604063423	0.0792424	NA	0.00253098	10.0	NA	90.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
IPO4	20.90308458951256	0.0019096333867118993	2.7190500010300016	0.133618	0.775027581507583	0.000279107	27.0	127.0	208.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
LAIR1	20.898991930719276	0.0019128664822157966	2.7183153426023834	0.0643762	0.007501425440393	0.0599753	16.0	20.0	80.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ENDOU	20.806370806931515	0.001987483224826265	2.7016965282796086	0.0169943	0.112827256736117	0.0158211	13.0	35.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
LOC100288123	16.934840127598843	0.0019901134610603236	2.7011221627321396	0.0194533	NA	0.0108057	5.0	NA	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ALOX12	20.78243642773009	0.002007223326861441	2.697404304529069	0.0153684	0.0532646691722921	0.0375045	10.0	48.0	93.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ZNF534	20.780112350639676	0.002009150312681046	2.696987570705236	0.690312	0.114932255255979	0.000387408	17.0	65.0	116.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
FAM186B	20.77958128469954	0.0020095908946776283	2.6968923456977847	0.0301275	0.0013922024979948	0.733003	29.0	81.0	147.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
CNTN4	20.734086246385196	0.0020476872134775597	2.6887363816000884	0.129049	0.0224050893359675	0.010878	23.0	103.0	198.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
DCLK1	20.6777485824683	0.0020958425085017547	2.6786413553993955	0.339552	0.203444123248723	0.000468309	3.0	35.0	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SPTLC2	20.59385190259519	0.002169612618381547	2.663617801966082	0.215172	0.0012415700613685	0.126283	2.0	22.0	74.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
OR2T8	20.566348386717465	0.0021943442854360966	2.6586952320326	0.0177751	0.0061363430128891	0.313583	5.0	5.0	59.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
TFCP2L1	20.547375378345905	0.0022115655499227384	2.6553001837880057	0.0520241	0.0018422279657895	0.360285	10.0	40.0	73.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
MRRF	20.52673235874858	0.002230452687999697	2.6516069845087045	0.369448	0.179904082298864	0.000524907	4.0	22.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
TOM1	20.4966353680147	0.002258272407057271	2.6462236719123013	0.00534472	0.0992613099576732	0.0667586	22.0	59.0	111.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
RIPOR2	16.592236541287182	0.0023192269782219507	2.6346567457279213	0.0018959	NA	0.131591	28.0	NA	160.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
